1-0	2-nsubj	2-nsubj
1-1	2-neg	2-advmod
1-2	70-root	51-advcl
1-3	4-caseCOLacc	14-mark
1-4	2-dobj	5-case
1-5	2-dobj	14-nmod
1-6	4-nmodCOLposs	5-nmod
1-7	2-punct	5-punct
1-8	17-nsubj	5-nmod
1-9	7-cc	14-mark
1-10	7-cc	9-cc
1-11	7-conj	9-nmod
1-12	12-mark	14-mark
1-13	12-mark	14-mark
1-14	12-aux	51-advcl
1-15	7-aclCOLrelcl	16-aux
1-16	12-dep	14-conj
1-17	15-case	19-case
1-18	15-case	19-case
1-19	12-nmod	16-dobj
1-20	17-punct	16-punct
1-21	2-conjCOLdiscourse	16-conj
1-22	19-case	30-mark
1-23	19-case	24-case
1-24	17-iobj	22-nmod
1-25	19-cc	30-mark
1-26	19-cc	25-cc
1-27	19-conj	25-nmod
1-28	23-mark	30-mark
1-29	23-mark	30-mark
1-30	19-aclCOLrelcl	21-conj
1-31	27-caseCOLacc	42-mark
1-32	27-det	33-det
1-33	27-detCOLdef	42-mark
1-34	27-detCOLdef	35-det
1-35	23-dobj	42-nsubj
1-36	29-detCOLdef	39-case
1-37	29-detCOLdef	39-det
1-38	27-amod	39-amod
1-39	19-nmod	35-nmod
1-40	32-mark	42-mark
1-41	32-mark	42-mark
1-42	30-aclCOLrelcl	30-conj
1-43	35-case	46-case
1-44	35-case	46-case
1-45	35-detCOLdef	46-det
1-46	32-nmod	42-nmod
1-47	32-xcomp	42-conj
1-48	38-case	50-case
1-49	38-case	50-case
1-50	32-nmod	51-nmod
1-51	38-amod	70-root
1-52	41-nsubj	51-nmod
1-53	38-acl	51-conj
1-54	41-punct	53-punct
1-55	46-nsubj	53-nmod
1-56	43-cc	58-case
1-57	43-cc	56-cc
1-58	43-conj	53-nmod
1-59	41-conjCOLdiscourse	53-conj
1-60	50-case	65-case
1-61	50-case	65-case
1-62	50-det	63-det
1-63	50-detCOLdef	65-case
1-64	50-detCOLdef	65-det
1-65	46-nmod	59-dobj
1-66	52-case	68-case
